#iterationNumber	varNumber	clauseNumber	itertionTime
1	896	2350	0.01902s
2	1588	3338	0.006433s
3	2280	5154	0.0069s
4	2972	6952	0.007148s
5	3664	4520	0.00744s
6	4356	6268	0.006604s
7	5048	8012	0.0076s
8	5740	9752	0.008448s
9	6432	4150	0.01116s
10	7124	5874	0.007972s
11	7816	7590	0.008675s
12	8508	4197	0.009636s
13	9200	5905	0.009561s
14	9892	7609	0.008673s
15	10584	4037	0.008935s
16	11276	5733	0.01057s
17	11968	7425	0.009925s
18	12660	3813	0.01149s
19	13352	3776	0.01202s
20	14044	5456	0.008315s
This is the last UNSAT round.
