#iterationNumber	varNumber	clauseNumber	itertionTime
1	2810	6723	0.04478s
2	5344	10452	0.01951s
3	7878	17160	0.0201s
4	10412	23868	0.02164s
5	12946	30576	0.02407s
6	15480	26220	0.024s
7	18014	32928	0.02321s
8	20548	39636	0.02663s
9	23082	38122	0.02576s
10	25616	44830	0.03406s
11	28150	51538	0.02761s
12	30684	49944	0.03932s
13	33218	56652	0.05853s
14	35752	57838	0.03671s
15	38286	61832	0.03288s
16	40820	68540	0.04506s
17	43354	75248	0.05546s
18	45888	73768	0.03779s
19	48422	77796	0.03996s
20	50956	84504	0.035s
21	53490	91212	0.04373s
22	56024	97920	0.04433s
23	58558	93854	0.04134s
24	61092	100562	0.0405s
25	63626	107270	0.04703s
26	66160	113978	0.0576s
27	68694	120686	0.08698s
28	71228	114006	0.04614s
29	73762	118020	0.163s
30	76296	122052	0.0495s
31	78830	126054	0.0501s
32	81364	132762	0.0544s
33	83898	139470	0.09417s
34	86432	146178	0.05436s
35	88966	142068	0.1042s
36	91500	146060	0.06556s
37	94034	152768	0.05772s
38	96568	159476	0.05676s
39	99102	166184	0.1009s
40	101636	162040	0.08851s
41	104170	168748	0.06886s
42	106704	169942	0.2992s
43	109238	173854	0.08673s
44	111772	177868	0.1147s
45	114306	181864	0.1244s
46	116840	188572	0.06862s
47	119374	189856	0.07378s
48	121908	196564	0.1744s
49	124442	197952	0.07138s
50	126976	202014	0.07359s
51	129510	208722	0.2451s
52	132044	206934	0.2s
53	134578	204735	0.3145s
54	137112	208561	0.1457s
55	139646	215197	0.08826s
56	142180	216251	0.08994s
57	144714	222887	0.0824s
58	147248	229523	0.128s
59	149782	236159	0.09462s
60	152316	231693	0.09314s
61	154850	238329	0.6968s
62	157384	237517	0.2906s
63	159918	241273	0.323s
64	162452	245049	0.09293s
65	164986	251673	0.09768s
66	167520	258297	0.09283s
67	170054	264921	0.1506s
68	172588	271545	0.4446s
69	175122	257610	0.1102s
70	177656	261213	0.2606s
71	180190	265023	0.1244s
72	182724	271619	0.1087s
73	185258	272517	0.2964s
74	187792	273836	0.1009s
75	190326	280424	0.1182s
76	192860	287012	0.114s
77	195394	293600	0.1296s
78	197928	300188	0.1037s
79	200462	292676	0.1264s
80	202996	299264	0.1728s
81	205530	305852	0.1255s
82	208064	303958	0.1346s
83	210598	310546	0.1126s
84	213132	317134	0.4465s
85	215666	315171	0.1378s
86	218200	321759	0.134s
87	220734	328347	0.4898s
88	223268	326543	0.1307s
89	225802	330327	0.1678s
90	228336	336915	0.8317s
91	230870	337249	0.1409s
92	233404	343837	0.1237s
93	235938	344831	0.1869s
94	238472	351419	1.489s
95	241006	351571	0.1517s
96	243540	355345	0.1545s
97	246074	361933	2.238s
98	248608	358560	0.1297s
99	251142	365142	0.1472s
100	253676	371724	1.033s
101	256210	366681	0.9192s
102	258744	369044	0.1346s
103	261278	372783	0.1369s
104	263812	379361	0.1447s
105	266346	385939	0.4941s
106	268880	383980	1.181s
107	271414	383843	0.2215s
108	273948	387563	0.181s
109	276482	394135	0.1515s
110	279016	400707	0.2708s
111	281550	407279	0.423s
112	284084	402471	1.052s
113	286618	404495	0.404s
114	289152	404255	0.5444s
115	291686	407941	0.6858s
116	294220	411459	1.013s
117	296754	414927	0.4506s
118	299288	418627	0.8549s
119	301822	421550	0.1561s
120	304356	422168	1.247s
121	306890	422200	0.1943s
122	309424	428756	0.4456s
123	311958	425666	0.5288s
124	314492	429314	0.3805s
125	317026	430144	3.326s
126	319560	429082	1.936s
127	322094	430121	0.2625s
128	324628	431400	0.2374s
129	327162	437938	0.6205s
130	329696	435121	0.2637s
131	332230	441653	0.7216s
132	334764	439730	0.5183s
133	337298	441411	1.443s
134	339832	442715	0.1707s
135	342366	442949	1.065s
136	344900	443742	0.5469s
137	347434	450258	1.005s
138	349968	449559	0.9636s
139	352502	449267	0.251s
140	355036	455779	1.033s
141	357570	455865	0.2068s
142	360104	458940	3.692s
143	362638	462136	1.05s
144	365172	461882	0.8295s
145	367706	462865	1.317s
146	370240	464270	0.2283s
147	372774	467674	1.908s
148	375308	470907	0.8597s
149	377842	472225	0.2171s
150	380376	478717	1.887s
151	382910	473145	3.981s
152	385444	472281	0.2113s
153	387978	472067	11.2s
This is the last UNSAT round.
