#iterationNumber	varNumber	clauseNumber	itertionTime
1	11885	31579	0.22s
2	19941	34396	0.06456s
3	27997	55372	0.0622s
4	36053	76332	0.07447s
5	44109	50690	0.09287s
6	52165	53467	0.0646s
7	60221	74315	0.06579s
8	68277	95163	0.0769s
9	76333	57473	0.07354s
10	84389	78321	0.07906s
11	92445	99169	0.07817s
12	100501	67969	0.07944s
13	108557	88813	0.0826s
14	116613	109639	0.0887s
15	124669	73933	0.08316s
16	132725	94747	0.08755s
17	140781	115561	0.08847s
18	148837	136363	0.1338s
19	156893	84936	0.09313s
20	164949	105680	0.1009s
21	173005	126416	0.1019s
22	181061	66370	0.1557s
23	189117	68031	0.1147s
24	197173	58247	0.102s
25	205229	78913	0.1086s
26	213285	99579	0.114s
27	221341	60308	0.107s
28	229397	80960	0.142s
29	237453	48144	0.1066s
30	245509	68774	0.1075s
31	253565	89394	0.1069s
32	261621	110014	0.1447s
33	269677	51003	0.1726s
34	277733	51265	0.1242s
35	285789	48209	0.2166s
36	293845	43603	0.1245s
37	301901	43009	0.1384s
38	309957	63605	0.1262s
39	318013	84197	0.1309s
40	326069	44076	0.4376s
41	334125	44650	0.1416s
42	342181	42718	0.1504s
43	350237	63298	0.149s
44	358293	83870	0.1311s
45	366349	104442	0.1328s
46	374405	125012	0.2127s
This is the last UNSAT round.
