#iterationNumber	varNumber	clauseNumber	itertionTime
1	11621	31091	0.2161s
2	19413	32581	0.06211s
3	27205	52809	0.06285s
4	34997	73029	0.06596s
5	42789	93245	0.08529s
6	50581	34324	0.0649s
7	58373	54532	0.0671s
8	66165	74736	0.06971s
9	73957	94932	0.07862s
10	81749	35250	0.09259s
11	89541	35497	0.07422s
12	97333	55673	0.08235s
13	105125	75845	0.08142s
14	112917	96013	0.08134s
15	120709	35607	0.08628s
16	128501	55767	0.09686s
17	136293	75923	0.09304s
18	144085	35307	0.09058s
19	151877	35485	0.09789s
20	159669	55625	0.09051s
21	167461	75761	0.1108s
22	175253	35864	0.09776s
23	183045	35842	0.1463s
24	190837	35362	0.1243s
25	198629	34594	0.1073s
26	206421	34136	0.1124s
27	214213	54240	0.1033s
28	222005	74340	0.1203s
29	229797	33763	0.4107s
This is the last UNSAT round.
