#iterationNumber	varNumber	clauseNumber	itertionTime
1	283841	868643	0.0589
2	283841	868643	0.0698
3	283841	868643	0.0879
4	283841	868643	0.1014
5	283841	868643	0.1269
6	283841	868643	0.1548
7	283841	868643	0.1611
8	283841	868643	0.1623
9	283841	868643	0.2018
10	283841	868643	0.2055
11	283841	868643	0.2267
12	283841	868643	0.2371
13	283841	868643	0.266
14	283841	868643	0.3068
15	283841	868643	0.2923
16	283841	868643	0.765
17	283841	868643	0.3316
18	283841	868643	0.3528
19	283841	868643	0.4035
20	283841	868643	0.3926
21	283841	868643	0.8374
22	283841	868643	0.4429
23	283841	868643	0.475
24	283841	868643	0.4802
25	283841	868643	0.5008
26	283841	868643	0.5299
27	283841	868643	0.5375
28	283841	868643	0.5473
29	283841	868643	0.6133
30	283841	868643	0.6536
31	283841	868643	7.7446
32	283841	868643	0.6534
33	283841	868643	0.8219
The last iteration is UNSAT.
The total time used (including file parse time) is
20.3192 s
