#iterationNumber	varNumber	clauseNumber	itertionTime
1	283841	868643	0.057
2	283841	868643	0.068
3	283841	868643	0.0819
4	283841	868643	0.0965
5	283841	868643	0.1173
6	283841	868643	0.1213
7	283841	868643	0.1285
8	283841	868643	0.1408
9	283841	868643	0.1811
10	283841	868643	0.1733
11	283841	868643	0.1962
12	283841	868643	0.1988
13	283841	868643	0.2517
14	283841	868643	0.2672
15	283841	868643	0.2299
16	283841	868643	0.2591
17	283841	868643	0.2625
18	283841	868643	0.3259
19	283841	868643	0.3157
20	283841	868643	0.3224
21	283841	868643	0.3224
22	283841	868643	0.3503
23	283841	868643	0.3214
24	283841	868643	0.3468
25	283841	868643	0.3747
26	283841	868643	0.3822
27	283841	868643	0.4082
28	283841	868643	0.4456
29	283841	868643	0.4417
30	283841	868643	0.4253
31	283841	868643	0.4738
32	283841	868643	0.517
33	283841	868643	0.5016
34	283841	868643	0.4525
35	283841	868643	0.4748
36	283841	868643	0.586
37	283841	868643	0.6023
38	283841	868643	0.5994
39	283841	868643	0.5301
40	283841	868643	0.5418
41	283841	868643	0.8462
The last iteration is UNSAT.
The total time used (including file parse time) is
14.4336 s
