#iterationNumber	varNumber	clauseNumber	itertionTime
1	1396	3412	0.02663s
2	2588	5103	0.01146s
3	3780	8217	0.01057s
4	4972	11327	0.01051s
5	6164	14433	0.01174s
6	7356	9929	0.01092s
7	8548	13035	0.01101s
8	9740	16141	0.01219s
9	10932	19239	0.01277s
10	12124	14655	0.01203s
11	13316	17753	0.0134s
12	14508	20851	0.01499s
13	15700	23945	0.016s
14	16892	19276	0.01781s
15	18084	22366	0.01786s
16	19276	25456	0.02365s
17	20468	22580	0.01824s
18	21660	25670	0.01611s
19	22852	28760	0.01615s
20	24044	25988	0.01652s
21	25236	29078	0.01928s
22	26428	32168	0.01944s
23	27620	35258	0.02264s
24	28812	30588	0.01967s
25	30004	33678	0.01906s
26	31196	36768	0.01778s
27	32388	39858	0.02304s
28	33580	35166	0.02378s
29	34772	36282	0.0242s
30	35964	39366	0.02048s
31	37156	38230	0.02034s
32	38348	41314	0.02114s
33	39540	44398	0.03573s
34	40732	40543	0.02349s
35	41924	43609	0.02636s
36	43116	46675	0.03073s
37	44308	42956	0.02719s
38	45500	46018	0.02856s
39	46692	49080	0.03171s
40	47884	46077	0.02368s
41	49076	49139	0.02474s
42	50268	52201	0.02546s
43	51460	49218	0.02552s
44	52652	52278	0.02383s
45	53844	55334	0.02509s
46	55036	58386	0.03876s
47	56228	51897	0.02894s
48	57420	52987	0.02679s
49	58612	56039	0.03156s
50	59804	59091	0.02775s
51	60996	56150	0.03782s
52	62188	59202	0.03285s
53	63380	62254	0.02897s
54	64572	65302	0.03473s
55	65764	56793	0.03149s
56	66956	59817	0.03169s
57	68148	62837	0.03088s
58	69340	65857	0.0374s
59	70532	58113	0.03303s
60	71724	61125	0.0328s
61	72916	64123	0.04054s
62	74108	52834	0.03118s
63	75300	55788	0.03221s
64	76492	58738	0.03793s
65	77684	61688	0.04547s
66	78876	46400	0.03499s
67	80068	49326	0.0426s
68	81260	41851	0.03221s
69	82452	44767	0.0336s
70	83644	40720	0.03375s
71	84836	43636	0.03952s
72	86028	46550	0.0583s
73	87220	40010	0.04528s
74	88412	42906	0.05934s
75	89604	39148	0.03742s
76	90796	42028	0.04504s
77	91988	37127	0.04177s
78	93180	40003	0.04093s
79	94372	42879	0.04092s
80	95564	45755	0.04339s
81	96756	37715	0.038s
82	97948	40583	0.03033s
This is the last UNSAT round.
