#iterationNumber	varNumber	clauseNumber	itertionTime
1	8103	22459	0.1538s
2	13597	26481	0.04172s
3	19091	41233	0.04259s
4	24585	55939	0.04825s
5	30079	70581	0.05142s
6	35573	40623	0.04926s
7	41067	55225	0.06165s
8	46561	46659	0.05936s
9	52055	46764	0.05114s
10	57549	61310	0.05112s
11	63043	75856	0.05498s
12	68537	90390	0.06258s
13	74031	27631	0.0755s
14	79525	27462	0.05816s
15	85019	41936	0.06016s
16	90513	56410	0.05822s
17	96007	70884	0.09077s
18	101501	26396	0.1203s
19	106995	25901	0.07654s
20	112489	40351	0.06696s
21	117983	25628	0.06711s
22	123477	40070	0.2286s
This is the last UNSAT round.
