#iterationNumber	varNumber	clauseNumber	itertionTime
1	7068	18147	0.1238s
2	12394	23442	0.04272s
3	17720	37604	0.04799s
4	23046	32631	0.04717s
5	28372	34697	0.05052s
6	33698	38788	0.0523s
7	39024	42131	0.05195s
8	44350	56137	0.05417s
9	49676	40696	0.05201s
10	55002	54678	0.05769s
11	60328	45360	0.05619s
12	65654	59316	0.06055s
13	70980	48746	0.0561s
14	76306	62694	0.06198s
15	81632	76640	0.06312s
16	86958	56904	0.06413s
17	92284	70814	0.06477s
18	97610	84712	0.06967s
19	102936	57979	0.06485s
20	108262	71863	0.06785s
21	113588	85741	0.08122s
22	118914	57215	0.06743s
23	124240	71011	0.07985s
24	129566	58690	0.07459s
25	134892	72470	0.07076s
26	140218	86246	0.08031s
27	145544	62395	0.08373s
28	150870	76157	0.08569s
29	156196	63913	0.08985s
30	161522	77661	0.0985s
31	166848	66034	0.08427s
32	172174	79766	0.09053s
33	177500	68233	0.1115s
34	182826	63685	0.1163s
35	188152	63644	0.08711s
36	193478	77310	0.085s
37	198804	90972	0.09608s
38	204130	104632	0.09523s
39	209456	64704	0.09235s
40	214782	78340	0.09417s
41	220108	91972	0.09337s
42	225434	105602	0.09555s
43	230760	119228	0.09722s
44	236086	132848	0.1047s
45	241412	68376	0.09956s
46	246738	81980	0.1039s
47	252064	95572	0.1014s
48	257390	109154	0.1121s
49	262716	122736	0.1149s
50	268042	69884	0.1074s
51	273368	83406	0.1124s
52	278694	96920	0.1096s
53	284020	110430	0.1753s
54	289346	61568	0.1153s
55	294672	75068	0.1215s
56	299998	88564	0.1222s
57	305324	61869	0.1228s
58	310650	75357	0.1281s
59	315976	88843	0.1171s
60	321302	102329	0.1304s
61	326628	64435	0.1241s
62	331954	77915	0.1241s
63	337280	91387	0.2373s
64	342606	62180	0.1298s
65	347932	61102	0.1261s
66	353258	74562	0.1626s
67	358584	88016	0.2699s
68	363910	59496	0.1289s
69	369236	59083	0.1275s
70	374562	72527	0.1291s
71	379888	85967	0.1295s
72	385214	99405	0.132s
73	390540	112839	0.1346s
74	395866	126269	0.1339s
75	401192	139695	0.1396s
76	406518	153115	0.1365s
77	411844	166527	0.1376s
78	417170	179937	0.1784s
79	422496	193345	0.1571s
80	427822	56647	0.1411s
81	433148	70047	0.1417s
82	438474	83443	0.4494s
83	443800	55321	0.2579s
84	449126	55183	0.1466s
85	454452	68565	0.1611s
This is the last UNSAT round.
