#iterationNumber	varNumber	clauseNumber	itertionTime
1	12687	32111	0.2206s
2	22765	43894	0.08104s
3	32843	71140	0.09018s
4	42921	95978	0.1161s
5	52999	121692	0.1515s
6	63077	147595	0.1857s
7	73155	167577	0.152s
8	83233	192282	0.124s
9	93311	214862	0.1509s
10	103389	241842	0.1451s
11	113467	235842	0.1752s
12	123545	262814	0.1402s
13	133623	277284	0.2663s
14	143701	294976	0.3299s
15	153779	268544	0.1807s
16	163857	259974	0.2825s
17	173935	265059	0.1833s
18	184013	280456	0.2126s
19	194091	307088	0.1694s
20	204169	302750	0.1495s
21	214247	329306	0.1718s
22	224325	355862	0.2724s
23	234403	322589	0.258s
24	244481	334470	0.1738s
25	254559	361014	0.2086s
26	264637	387554	0.3953s
27	274715	323344	0.3175s
28	284793	333185	0.1887s
29	294871	359517	0.273s
30	304949	385845	0.2354s
31	315027	357272	0.5992s
32	325105	361169	0.1994s
33	335183	367664	0.2186s
34	345261	393958	0.1978s
35	355339	420248	0.3557s
36	365417	393662	0.2995s
37	375495	402394	0.324s
38	385573	428676	0.3342s
39	395651	421521	0.2704s
40	405729	447801	0.4724s
41	415807	441821	0.8596s
42	425885	421626	0.3532s
43	435963	447682	0.2549s
44	446041	410294	0.3388s
45	456119	436328	0.2272s
46	466197	462362	0.2516s
47	476275	438576	0.2472s
48	486353	464610	0.3053s
49	496431	490640	0.245s
50	506509	516656	0.2799s
51	516587	473280	0.5146s
52	526665	481184	0.267s
53	536743	507184	0.6633s
54	546821	492941	0.4616s
55	556899	501905	2.107s
56	566977	505414	0.3304s
57	577055	503044	0.4461s
58	587133	528920	0.3425s
59	597211	499046	0.7388s
60	607289	502095	1.225s
61	617367	497109	0.462s
62	627445	503936	0.3021s
63	637523	529694	0.4002s
64	647601	501098	0.3193s
65	657679	526856	0.551s
66	667757	515069	0.4762s
67	677835	521905	0.9127s
68	687913	527506	0.3757s
69	697991	553252	1.724s
70	708069	539369	1.304s
71	718147	542707	0.3984s
72	728225	568425	0.5318s
73	738303	551688	0.3345s
74	748381	577372	0.3765s
75	758459	603056	0.3309s
76	768537	628740	0.381s
77	778615	573604	0.3797s
78	788693	599288	0.4529s
79	798771	624972	0.356s
80	808849	594532	0.3595s
81	818927	620216	0.3704s
82	829005	645900	0.404s
83	839083	671584	0.3761s
84	849161	697268	0.3705s
85	859239	635462	0.3725s
86	869317	661146	0.4028s
87	879395	686830	1.194s
88	889473	621849	0.6086s
89	899551	647443	1.476s
90	909629	628747	0.8499s
91	919707	635226	0.4146s
92	929785	660802	1.924s
93	939863	640140	0.9789s
94	949941	634856	0.4191s
95	960019	660416	2.097s
96	970097	641910	0.4513s
97	980175	647550	1.089s
98	990253	648606	1.033s
99	1000331	653491	1.507s
100	1010409	654826	0.6014s
101	1020487	660583	0.5003s
102	1030565	686111	0.5634s
103	1040643	711639	0.7814s
104	1050721	673715	0.5021s
105	1060799	679427	0.6033s
106	1070877	704955	1.151s
107	1080955	672846	1.818s
108	1091033	677511	0.9652s
109	1101111	668857	0.6352s
110	1111189	694333	2.956s
111	1121267	676189	0.6458s
112	1131345	681289	0.4987s
113	1141423	706759	0.9389s
114	1151501	694514	1.378s
115	1161579	678252	1.172s
116	1171657	682199	3.116s
117	1181735	683075	1.846s
118	1191813	655193	1.816s
119	1201891	627347	1.042s
120	1211969	631603	1.687s
121	1222047	632080	7.245s
This is the last UNSAT round.
